alt,Mach,TRA,T2,T24,T30,T48,T50,P15,P2,P21,P24,Ps30,P40,P50,Nf,Nc,Wf,T40,P30
0.40085083,0.16133218,0.17222421,0.019940194,0.16324002,0.019940194,-0.02803488,-0.1347588,-0.1347588,-0.011874067,-0.13757353,0.38792294,0.17313491,0.13621463,0.35822588,0.31701407,0.31860474,0.10985479,-0.16776784,-0.28649715
0.28872737,0.3117323,0.47433522,0.34217104,0.39785543,0.34217104,0.31050786,0.30137926,0.30137926,0.38123465,0.30136493,0.30599144,0.26171547,0.30711505,0.23768173,0.24742934,0.1849251,0.5773036,0.28586522,0.41837916
0.10809517,0.15340886,0.2906417,0.22623801,0.19191206,0.22623964,0.2264859,0.28185463,0.28185236,0.2703149,0.28384632,0.08522823,0.10441697,0.15653162,0.06664602,0.073366575,0.056294337,0.3885679,0.2958649,0.49081582
0.14016405,0.24217936,0.3754439,0.43716422,0.23267728,0.43717048,0.532031,0.8746283,0.87461424,0.50275385,0.8871176,0.07757977,0.1591781,0.25977778,0.078624286,0.087921314,0.09266971,0.4530284,1.0711845,1.376249
0.27725294,0.31687707,0.3652482,0.47312105,0.34785563,0.4731244,0.5349047,0.7416007,0.7415592,0.5195927,0.747734,0.20603281,0.27018484,0.32889444,0.19454245,0.20764215,0.22542284,0.43447658,0.83842146,0.8971527
0.1997015,0.61228216,1.0059566,8.118693,0.8478083,8.118752,5.9244814,1.6585414,1.6584488,16.6823,1.6379664,0.16251753,0.4084188,0.7415388,0.12907831,0.16206461,0.1308403,2.2832406,1.4286144,1.3101351
