alt,Mach,TRA,T2,T24,T30,T48,T50,P15,P2,P21,P24,Ps30,P40,P50,Nf,Nc,Wf,T40,P30
0.5397841,0.11809808,0.25002855,-0.18774457,-0.08622851,-0.18774457,-0.20502152,-0.24980569,-0.24980569,-0.2275768,-0.2515806,0.16295122,0.05380399,0.088779286,0.35403138,0.3111688,0.2659849,0.27529123,-0.25026545,-0.0067846673
0.32677305,0.27564764,0.41355494,0.3995308,0.46956444,0.3995308,0.35211125,0.29737517,0.29737517,0.43315768,0.2965991,0.39761072,0.27733073,0.2730125,0.2038386,0.21243343,0.17866336,0.54427004,0.26328713,0.5222279
0.11437166,0.1454643,0.23657432,0.39066654,0.36713895,0.39066672,0.3700764,0.36413088,0.36413252,0.438691,0.36505523,0.18948668,0.1550775,0.15083554,0.061925024,0.06802381,0.05813195,0.3154581,0.34389913,0.40034616
0.12250235,0.27848655,0.32724187,0.9561192,0.6113229,0.95612013,1.1046457,1.4993588,1.4993722,1.0257117,1.5148778,0.22711268,0.31268132,0.30524066,0.09229104,0.102535896,0.10586656,0.33593437,1.7060939,0.5876938
0.26124513,0.3265968,0.31155208,0.7695081,0.6062574,0.76952595,0.84009355,1.036371,1.0364132,0.8131541,1.0428768,0.3455618,0.39468825,0.34666592,0.20427635,0.21636418,0.2371436,0.3480033,1.1256166,0.51610684
0.15815188,0.7622955,0.5153168,1.6375556,3.301424,1.6375937,1.4428066,1.2337229,1.2337734,1.5477146,1.2294918,0.8431915,2.0344064,1.0660609,0.117615014,0.14771079,0.15929049,0.68802685,1.1841838,39.725662
